SMILES,tg,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGHI,BCUT2D_LOGPHI,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0v,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,SMR_VSA10,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,EState_VSA1,EState_VSA2,VSA_EState2,VSA_EState4,VSA_EState6,VSA_EState8,FractionCSP3,HeavyAtomCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,RingCount,MolMR,fr_NH0,fr_amide,fr_aniline,fr_benzene,fr_bicyclic,fr_imide,num_CH3,num_CH2,num_CH,num_C,num_OH,num_COC,num_OC,num_N,num_Hal,num_double_bonds
*CC(CC)C(CC)COC(=O)c1ccc(C(=O)O*)cc1,32.0,0.905290233,276.332,256.172,108,,,,,1.35,1.95,2.5,,,,,,4.261396452,1225.419878,9.632993162,4.770620726,3.029039102,3.029039102,1.779039102,1.779039102,0.866581624,0.866581624,-1.84,3.315606657,11.93861058,33.32547452,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,98.90756352,0.0,25.13072893,-2.320883148,-4.937945231,-16.43682679,0.5,20,0,0,1,1,1,74.509,0,0,0,1,0,0,2,4,2,8,0,1,2,0,0,2
*CCCCCC(=O)S*,19.0,0.621692413,130.212,120.132,46,,,,,1.875,2.75,3.375,,,,,,6.002059007,391.69928,4.632993162,2.066496581,0.787457479,1.15824829,0.289562073,0.391624145,0.113531036,0.164562073,0.02,1.0925154,17.74406608,32.36754008,0.0,0.0,0.0,0.0,6.875840478,0.0,37.48281701,0.0,11.54673422,0.0,0.0,-2.509836191,0.833333333,8,0,0,0,0,0,35.873,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,1
*O[Si](C)(C)CC(C)(C)COC(=O)c1cccc(C(=O)OCC(C)(C)C[Si](*)(C)C)c1,-52.0,1.761465064,436.697,400.409,162,,,,,1.068965517,1.620689655,2.068965517,,,,,,4.619810506,1997.238818,16.04124145,10.33711731,5.039349465,7.651721901,2.302923023,3.654985096,1.398304621,2.403459802,-1.446233766,4.521035619,29.05274048,65.30063166,35.29657781,0.0,0.0,24.16967483,37.8930632,0.0,153.5979014,0.0,32.79769827,-14.22140072,-7.411660985,-45.77442804,0.636363636,29,0,0,1,1,1,120.232,0,0,0,1,0,0,8,4,0,10,0,2,2,0,0,2
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,120.0,0.462856552,242.23,232.15,90,,,,,1.222222222,1.833333333,2.388888889,,,,,,2.884553704,1083.538166,8.632993162,4.520620726,3.029039102,3.029039102,1.92697703,1.92697703,1.176504033,1.176504033,-2.36,4.086701102,22.711059,6.875840478,47.38141523,0.0,0.0,36.25451225,6.875840478,10.77244843,83.52729996,0.0,24.47650086,-1.466073402,-4.689505346,-5.397661461,0.142857143,18,0,0,2,2,2,64.453,0,0,0,2,1,0,0,2,0,12,0,1,2,0,0,2
*CCOC(=O)c1ccc2ccc(C(=O)O*)cc2c1,119.0,0.455177036,242.23,232.15,90,,,,,1.222222222,1.888888889,2.5,,,,,,2.907168661,1083.538166,8.632993162,4.520620726,3.029039102,3.029039102,1.92697703,1.92697703,1.176504033,1.176504033,-2.36,4.086701102,22.711059,6.875840478,47.38141523,0.0,0.0,36.25451225,6.875840478,10.77244843,83.52729996,0.0,24.55831834,-1.507022432,-4.648556317,-5.407915026,0.142857143,18,0,0,2,2,2,64.453,0,0,0,2,1,0,0,2,0,12,0,1,2,0,0,2
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,180.0,0.565268435,358.393,340.249,134,,,,,0.962962963,1.555555556,2.111111111,,,,,,2.505266749,1781.981911,13.13299316,7.020620726,4.899829914,4.899829914,3.080070139,3.080070139,1.793664957,1.793664957,-3.4,5.796945214,12.25546581,19.1187747,94.76283046,11.49902367,9.843390349,72.50902449,0.0,0.0,137.6360946,0.0,25.3391275,-8.031482907,-13.35265045,-7.806409235,0.130434783,27,0,0,3,3,3,101.371,0,0,0,3,0,0,2,0,0,21,0,0,2,0,0,2
*Oc1ccc(Cc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,150.0,0.365438503,330.339,316.227,122,,,,,0.96,1.56,2.16,,,,,,2.247071036,1602.74599,12.13299316,6.520620726,4.274829914,4.274829914,2.580070139,2.580070139,1.543664957,1.543664957,-3.4,5.845179063,12.25546581,6.372924901,94.76283046,11.49902367,9.843390349,72.50902449,0.0,0.0,119.140733,5.749511833,25.02093172,-3.274826405,-10.68168443,0.0,0.047619048,25,0,0,3,3,3,92.049,0,0,0,3,0,0,0,1,0,20,0,0,2,0,0,2
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,201.0,0.534915047,358.393,340.249,134,,,,,0.888888889,1.407407407,1.888888889,,,,,,2.489111856,1752.731911,13.13299316,7.020620726,4.899829914,4.899829914,3.080070139,3.080070139,1.762414957,1.762414957,-3.4,5.796945214,12.25546581,19.1187747,94.76283046,11.49902367,9.843390349,72.50902449,0.0,0.0,137.6360946,0.0,25.11447524,-7.968118737,-13.41207608,-7.804291491,0.130434783,27,0,0,3,3,3,101.371,0,0,0,3,0,0,2,0,0,21,0,0,2,0,0,2
*Oc1ccc(C(C)(C)c2ccc(OC(=O)C3CCC(C(*)=O)CC3)cc2)cc1,150.0,0.647440782,364.441,340.249,140,,,,,1.074074074,1.592592593,2.074074074,,,,,,2.517394587,1802.962643,13.13299316,7.020620726,4.899829914,4.899829914,3.080070139,3.080070139,1.762414957,1.762414957,-2.62,4.857264202,12.25546581,44.61047431,59.46625264,11.49902367,9.843390349,48.33934966,0.0,0.0,139.6191318,0.0,26.27490419,-6.907818256,-11.23216825,-8.105287924,0.391304348,27,0,1,2,2,3,101.73,0,0,0,2,0,0,2,4,2,15,0,0,2,0,0,2
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC(*)=O)c(Cl)c2)cc1Cl,100.0,0.401654841,476.183,458.039,154,,,,,1.034482759,1.517241379,1.965517241,,,,,,3.079527073,1642.271666,16.66856684,8.538407564,4.90575886,6.417616752,3.021744853,4.086280499,1.768116362,2.697929033,-1.46,8.233153812,58.65922537,44.61047431,55.38711107,11.49902367,9.843390349,24.16967483,20.09053325,0.0,123.7520749,0.0,24.96813688,-6.281552347,-4.987238345,-7.799002149,0.333333333,29,0,0,2,2,2,114.79,0,0,0,2,0,0,2,4,0,15,0,0,2,0,4,2
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,84.5,0.85196839,274.316,256.172,106,,,,,1.3,1.85,2.4,,,,,,2.851209602,1202.219132,9.632993162,5.020620726,3.279039102,3.279039102,1.904039102,1.904039102,1.028566106,1.028566106,-1.84,3.487105163,11.93861058,32.36754008,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,97.94962909,0.0,24.94462869,-2.170810025,-4.654366312,-7.431467206,0.5,20,0,1,1,1,2,72.395,0,0,0,1,0,0,0,6,2,8,0,1,2,0,0,2
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,10.5,0.910136547,304.386,280.194,120,,,,,0.954545455,1.454545455,2.0,,,,,,3.82691821,1422.038942,10.63299316,5.270620726,3.029039102,3.029039102,1.665508066,1.665508066,0.852535069,0.852535069,-1.84,3.473361107,11.93861058,57.85923969,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,111.6534133,0.0,24.874514,-2.307729588,-4.92445616,-7.484916565,0.555555556,22,0,0,1,1,1,83.883,0,0,0,1,0,0,0,10,0,8,0,1,2,0,0,2
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,13.0,0.803816416,248.278,232.15,96,,,,,1.166666667,1.777777778,2.388888889,,,,,,3.623034081,1038.907973,8.632993162,4.270620726,2.529039102,2.529039102,1.415508066,1.415508066,0.727535069,0.727535069,-1.84,3.182761053,11.93861058,32.36754008,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,86.16171372,0.0,24.49150916,-2.036259293,-4.398802248,-6.935633872,0.428571429,18,0,0,1,1,1,65.415,0,0,0,1,0,0,0,6,0,8,0,1,2,0,0,2
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,16.0,0.766577346,234.251,220.139,90,,,,,1.235294118,1.882352941,2.470588235,,,,,,3.568662217,945.8169223,8.132993162,4.020620726,2.404039102,2.404039102,1.353008066,1.353008066,0.696285069,0.696285069,-1.84,3.130623277,11.93861058,25.99461518,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,79.78878881,0.0,24.35142664,-1.935933804,-4.207163129,-6.700118392,0.384615385,17,0,0,1,1,1,60.798,0,0,0,1,0,0,0,5,0,8,0,1,2,0,0,2
*CCCCOC(=O)c1cccc(C(=O)O*)c1,19.0,0.807830727,220.224,208.128,84,,,,,1.4375,2.1875,2.875,,,,,,3.567159827,883.1825087,7.632993162,3.770620726,2.279039102,2.279039102,1.290508066,1.290508066,0.696285069,0.696285069,-1.84,3.092500161,11.93861058,19.62169028,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,73.41586391,0.0,24.3664148,-1.906886377,-3.884151056,-6.399269756,0.333333333,16,0,0,1,1,1,56.181,0,0,0,1,0,0,0,4,0,8,0,1,2,0,0,2
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,48.4,0.722844564,220.224,208.128,84,,,,,1.3125,1.9375,2.5,,,,,,3.518860069,853.9325087,7.632993162,3.770620726,2.279039102,2.279039102,1.290508066,1.290508066,0.665035069,0.665035069,-1.84,3.092500161,11.93861058,19.62169028,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,73.41586391,0.0,24.18233499,-1.814220698,-3.976816736,-6.385047283,0.333333333,16,0,0,1,1,1,56.181,0,0,0,1,0,0,0,4,0,8,0,1,2,0,0,2
*CCOC(=O)c1cccc(C(=O)O*)c1,58.0,0.666763983,192.17,184.106,72,,,,,1.571428571,2.285714286,2.928571429,,,,,,3.524399571,703.3241495,6.632993162,3.270620726,2.029039102,2.029039102,1.17697703,1.17697703,0.645254033,0.645254033,-1.84,3.084057397,11.93861058,6.875840478,35.29657781,0.0,0.0,24.16967483,6.875840478,0.0,60.67001411,0.0,23.87060669,-1.537574169,-3.274246386,-5.289562232,0.2,14,0,0,1,1,1,46.947,0,0,0,1,0,0,0,2,0,8,0,1,2,0,0,2
